name,n_dets,mean_conf
P0063,0,0.0
P0081,2,0.2644016742706299
P0198,0,0.0
P0308,2,0.3406692147254944
P0336,0,0.0
P0345,1,0.32603782415390015
P0363,1,0.6335117816925049
P0368,1,0.5460985898971558
P0377,0,0.0
P0452,2,0.4022880792617798
P0517,2,0.36203616857528687
P0565,5,0.4067564010620117
P0649,0,0.0
P0699,6,0.4464229643344879
P0806,0,0.0
P1003,0,0.0
P1029,2,0.33283138275146484
P1148,2,0.3939247131347656
P1158,0,0.0
P1207,0,0.0
P1216,0,0.0
P1242,0,0.0
P1358,1,0.3292190432548523
P1522,1,0.26373475790023804
P1676,0,0.0
P1693,0,0.0
P1960,5,0.3564364016056061
P2002,3,0.3006853759288788
P2045,0,0.0
P2210,1,0.721548855304718
P2257,1,0.30719801783561707
P2278,1,0.3027423322200775
P2332,0,0.0
P2352,0,0.0
P2456,1,0.5107799172401428
P2528,1,0.3457680344581604
P2591,0,0.0
P2613,3,0.3765987455844879
P2724,1,0.3935561776161194
P2754,0,0.0
