name,ods_threshold,ods_f_score
P0063,212,0.21541867418324162
P0081,220,0.08407610504067832
P0198,175,0.39362181815857317
P0308,20,0.11791000842620551
P0336,205,0.08675985258685612
P0345,205,0.05628652412809418
P0363,64,0.19395832806647081
P0368,20,0.15013730131782016
P0377,20,0.12931987813096146
P0452,20,0.06485967879897792
P0517,227,0.16284137142921054
P0565,220,0.08304632148031053
P0649,146,0.3401232055613171
P0699,27,0.09351272568719324
P0806,116,0.12877971978297884
P1003,227,0.10009878220823759
P1029,220,0.10710333705381112
P1148,20,0.03744318344666961
P1158,57,0.10426984100784915
P1207,27,1.0
P1216,49,0.5166394756219049
P1242,197,0.08026641921993957
P1358,160,0.12893103803317424
P1522,101,0.11797542433507302
P1676,42,0.01454831556557097
P1693,197,1.0
P1960,101,0.2813896502199719
P2002,20,0.18672425074546473
P2045,20,0.19172400336044707
P2210,205,0.129973025014216
P2257,49,0.1227818656592362
P2278,212,0.12592334614585207
P2332,175,0.045627887052892536
P2352,160,0.0075855773544810075
P2456,220,0.008779592493196132
P2528,175,0.03716435805953377
P2591,175,0.09876847550485758
P2613,197,0.1930062241019176
P2724,183,0.053878096200509935
P2754,146,0.001751926257337642
