name,n_keypoints,mean_response
P0063,1000,0.0029166736621700695
P0081,1000,0.0024338341982947896
P0198,1000,0.002201504617289174
P0308,1000,0.0008117077790484472
P0336,1000,0.00267836872569751
P0345,1000,0.000648805221531802
P0363,1000,0.0032086315437081796
P0368,1000,0.0015369924425394856
P0377,1000,0.0002765550308422462
P0452,1000,0.0037656014004023744
P0517,1000,0.005481418522482272
P0565,1000,0.0016478351501864382
P0649,1000,0.00036090348483935485
P0699,1000,0.007491653713863343
P0806,1000,0.0012723123570249299
P1003,1000,0.001485618626255018
P1029,1000,0.002421404735185206
P1148,417,6.747040421787493e-05
P1158,939,2.8162335404775204e-05
P1207,93,5.354548905352301e-06
P1216,155,2.2821028731949547e-06
P1242,1000,8.629656222450422e-05
P1358,1000,0.00024044431023867219
P1522,1000,0.00011185180660186234
P1676,536,1.208874799381662e-05
P1693,825,1.5315631477299326e-05
P1960,1000,0.008735285601112992
P2002,1000,0.005596194299636409
P2045,1000,0.0015812324003200047
P2210,1000,0.004120471206289949
P2257,1000,0.0012078615826685564
P2278,1000,0.0013522254936397075
P2332,1000,0.0007641923374612816
P2352,1000,0.0009781934788625221
P2456,1000,0.0021676400769501925
P2528,1000,0.002170827462337911
P2591,1000,0.0019434219796094112
P2613,1000,0.006537607030244544
P2724,1000,0.0007177149404305965
P2754,1000,0.0009433576808369253
