class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,46,0.8949074074074075
1,ship,6,8,0.7857142857142857
2,storage-tank,15,24,0.9244444444444444
3,baseball-diamond,11,12,0.7272727272727273
4,tennis-court,87,86,0.9652467883705206
5,basketball-court,6,6,1.0
6,ground-track-field,9,8,0.8888888888888888
7,harbor,48,44,0.7929746240601503
8,bridge,10,9,0.9
9,large-vehicle,57,78,0.6829163108245386
10,small-vehicle,175,150,0.725206470215759
11,helicopter,0,0,
12,roundabout,5,2,0.2
13,soccer-ball-field,7,4,0.5714285714285714
14,swimming-pool,64,14,0.1826923076923077
