class_id,class_name,n_gt_px,f_score
0,plane,64509,0.06459072691882983
1,ship,5474,0.03710665482167601
2,storage-tank,5526,0.028592153188394087
3,baseball-diamond,19516,0.03976744961420522
4,tennis-court,194379,0.07987660689646764
5,basketball-court,12744,0.07834305814370061
6,ground-track-field,29502,0.02714995631627547
7,harbor,140055,0.061530517632642154
8,bridge,7670,0.0685864958469897
9,large-vehicle,86840,0.06057549429134228
10,small-vehicle,115861,0.08203345484585892
11,helicopter,0,
12,roundabout,10922,0.02785338598083485
13,soccer-ball-field,27994,0.02939104047570975
14,swimming-pool,52001,0.07974494821310496
