name,n_keypoints,mean_response
P0063,1000,0.00039506829747551817
P0081,1000,0.0003261304110146739
P0198,1000,0.00029923393053468315
P0308,1000,0.00010761564664630896
P0336,1000,0.00035940075490361776
P0345,1000,8.706014523431804e-05
P0363,1000,0.0004311246885054061
P0368,1000,0.00020957636678940617
P0377,951,3.914965256928332e-05
P0452,1000,0.000507606174751345
P0517,1000,0.0007437143172792276
P0565,1000,0.00022119595785989076
P0649,919,5.098201439269262e-05
P0699,1000,0.001005654720196617
P0806,1000,0.00017067155362747143
P1003,1000,0.00019950962186339894
P1029,1000,0.0003267459126473113
P1148,134,1.9984832106563012e-05
P1158,195,1.3058686075941622e-05
P1207,22,2.418450151253637e-06
P1216,8,1.3465411043966924e-06
P1242,666,1.4420046392169192e-05
P1358,1000,3.255571487693487e-05
P1522,913,1.4688503189483096e-05
P1676,123,4.854293988464041e-06
P1693,275,5.066836351840142e-06
P1960,1000,0.0011791602245066314
P2002,1000,0.0007501530089939479
P2045,1000,0.00021465323103075207
P2210,1000,0.0005530710572638781
P2257,1000,0.0001630257784272544
P2278,1000,0.00018070236205858237
P2332,1000,0.00010180894430959597
P2352,1000,0.00013069222832837112
P2456,1000,0.0002935148997567012
P2528,1000,0.00029263316069409485
P2591,1000,0.00026372312408602736
P2613,1000,0.0008767017138961819
P2724,1000,9.585540987245622e-05
P2754,1000,0.00012708957118593388
