class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,52,0.8910227272727272
1,ship,6,9,0.8634920634920634
2,storage-tank,15,23,0.9215686274509804
3,baseball-diamond,11,8,0.7272727272727273
4,tennis-court,87,85,0.964705882352941
5,basketball-court,6,6,0.8333333333333334
6,ground-track-field,9,8,0.8888888888888888
7,harbor,48,44,0.7866036821705427
8,bridge,10,9,0.8
9,large-vehicle,57,75,0.7226462153390959
10,small-vehicle,175,148,0.6859665618138627
11,helicopter,0,0,
12,roundabout,5,3,0.33333333333333337
13,soccer-ball-field,7,4,0.5714285714285714
14,swimming-pool,64,16,0.2104166666666667
