class_id,class_name,n_gt_px,f_score
0,plane,64509,0.05246691326145915
1,ship,5474,0.03389746633015971
2,storage-tank,5526,0.027647126314278514
3,baseball-diamond,19516,0.03474431675067392
4,tennis-court,194379,0.08078725642761395
5,basketball-court,12744,0.06883955988143034
6,ground-track-field,29502,0.03220506750295069
7,harbor,140055,0.07574741037989693
8,bridge,7670,0.08170633462531451
9,large-vehicle,86840,0.05785598932140255
10,small-vehicle,115861,0.07698189364655497
11,helicopter,0,
12,roundabout,10922,0.02943554730386568
13,soccer-ball-field,27994,0.0303009108456067
14,swimming-pool,52001,0.07764661031918556
