name,n_dets,mean_conf
P0063,0,0.0
P0081,0,0.0
P0198,0,0.0
P0308,1,0.2785124182701111
P0336,0,0.0
P0345,0,0.0
P0363,0,0.0
P0368,1,0.25487256050109863
P0377,0,0.0
P0452,0,0.0
P0517,0,0.0
P0565,1,0.37740761041641235
P0649,0,0.0
P0699,3,0.7896360754966736
P0806,0,0.0
P1003,1,0.6563838720321655
P1029,0,0.0
P1148,1,0.8055543303489685
P1158,0,0.0
P1207,0,0.0
P1216,0,0.0
P1242,0,0.0
P1358,0,0.0
P1522,0,0.0
P1676,0,0.0
P1693,0,0.0
P1960,0,0.0
P2002,0,0.0
P2045,0,0.0
P2210,1,0.3051730692386627
P2257,1,0.27175500988960266
P2278,1,0.30213865637779236
P2332,0,0.0
P2352,0,0.0
P2456,0,0.0
P2528,1,0.4731629192829132
P2591,0,0.0
P2613,1,0.4354120194911957
P2724,0,0.0
P2754,0,0.0
