name,ods_threshold,ods_f_score
P0063,160,0.22409943835162968
P0081,64,0.07555461765537749
P0198,138,0.47681879030212404
P0308,27,0.14330443589101252
P0336,42,0.10499964337823423
P0345,123,0.06325522072378377
P0363,34,0.18926921974189767
P0368,20,0.1572421235796716
P0377,27,0.12493146490780803
P0452,42,0.038676698309432204
P0517,138,0.11372654693782658
P0565,116,0.11085225289091223
P0649,123,0.3107465245864991
P0699,20,0.0911546064516651
P0806,64,0.09998475319173884
P1003,131,0.08165535662466354
P1029,79,0.11777476288804467
P1148,20,0.0
P1158,20,0.02911919627742916
P1207,20,1.0
P1216,20,0.2151708808002223
P1242,42,0.03673491499814863
P1358,86,0.15824875324199
P1522,42,0.09859433536551414
P1676,71,0.020085774424857296
P1693,168,1.0
P1960,49,0.25553828340021445
P2002,20,0.18546498691686308
P2045,20,0.17808623263898413
P2210,27,0.13795351253374666
P2257,131,0.12890826227250887
P2278,116,0.13922181310030887
P2332,94,0.08931791101695688
P2352,86,0.017004218147006908
P2456,183,0.009592764314916749
P2528,79,0.04067885482642839
P2591,153,0.11563202135495522
P2613,20,0.13109180724637642
P2724,42,0.053864903447067514
P2754,20,0.0008746564193638245
