name,n_dets,mean_conf
P0063,5,0.46444860100746155
P0081,0,0.0
P0198,23,0.777129054069519
P0308,31,0.3807792067527771
P0336,8,0.4690583646297455
P0345,20,0.37768104672431946
P0363,46,0.5850164294242859
P0368,6,0.5472897291183472
P0377,9,0.6025015115737915
P0452,3,0.7306661605834961
P0517,17,0.585847795009613
P0565,4,0.4500751495361328
P0649,3,0.7566840052604675
P0699,11,0.8166240453720093
P0806,17,0.6903913617134094
P1003,19,0.4771769642829895
P1029,31,0.580377459526062
P1148,2,0.47440803050994873
P1158,7,0.46760159730911255
P1207,0,0.0
P1216,1,0.2825312614440918
P1242,5,0.6949144005775452
P1358,4,0.7296284437179565
P1522,6,0.4277288615703583
P1676,11,0.380653977394104
P1693,5,0.37472715973854065
P1960,88,0.6683590412139893
P2002,40,0.7562057375907898
P2045,13,0.8887711763381958
P2210,44,0.7435585260391235
P2257,5,0.7422230243682861
P2278,6,0.3630630075931549
P2332,5,0.3066191077232361
P2352,4,0.45576149225234985
P2456,1,0.2882581353187561
P2528,0,0.0
P2591,12,0.7987352013587952
P2613,43,0.6598037481307983
P2724,6,0.34511157870292664
P2754,8,0.37169718742370605
