class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,124,0.8310185185185185
1,ship,6,16,0.2777777777777778
2,storage-tank,15,1,0.06666666666666667
3,baseball-diamond,11,0,0.0
4,tennis-court,87,10,0.11494252873563218
5,basketball-court,6,0,0.0
6,ground-track-field,9,0,0.0
7,harbor,48,88,0.2658316313207617
8,bridge,10,0,0.0
9,large-vehicle,57,97,0.6979232223596267
10,small-vehicle,175,344,0.21308054837581647
11,helicopter,0,0,
12,roundabout,5,0,0.0
13,soccer-ball-field,7,0,0.0
14,swimming-pool,64,164,0.0026975832413539368
