name,n_keypoints,mean_response
P0063,1000,0.0028967847200692632
P0081,1000,0.0022569526785518974
P0198,1000,0.002111684092960786
P0308,1000,0.0007737435069884669
P0336,1000,0.00261706416902598
P0345,1000,0.0006283202736885869
P0363,1000,0.003046923376772611
P0368,1000,0.0015234955111627642
P0377,1000,0.00025206722101574994
P0452,1000,0.003571272885077633
P0517,1000,0.005234191392257344
P0565,1000,0.0015572008624076261
P0649,1000,0.0003256075583535676
P0699,1000,0.006923734120558947
P0806,1000,0.0012406815483045647
P1003,1000,0.0014152081069914856
P1029,1000,0.0023958357705269008
P1148,410,6.649795747828803e-05
P1158,996,2.6835622700997123e-05
P1207,61,5.793495633076314e-06
P1216,118,2.8684745963523635e-06
P1242,1000,8.087764125673402e-05
P1358,1000,0.00024019669509289088
P1522,1000,0.00011091907022318992
P1676,527,1.2409785931567208e-05
P1693,787,1.619728833351655e-05
P1960,1000,0.008131387832807377
P2002,1000,0.005430757844587788
P2045,1000,0.001567191063593782
P2210,1000,0.0039875633085030135
P2257,1000,0.001209393767217989
P2278,1000,0.0013248488709068625
P2332,1000,0.0007417973941774107
P2352,1000,0.0009457079424682888
P2456,1000,0.0021435518740327095
P2528,1000,0.002128162964771036
P2591,1000,0.0018715827299893135
P2613,1000,0.006114467010542285
P2724,1000,0.0007142051823902875
P2754,1000,0.0009236424823757261
