class_id,class_name,n_gt_px,f_score
0,plane,64509,0.06283698352301767
1,ship,5474,0.011281086660263737
2,storage-tank,5526,0.028591368839454078
3,baseball-diamond,19516,0.041673579605375835
4,tennis-court,194379,0.08198669194205885
5,basketball-court,12744,0.07922759030809275
6,ground-track-field,29502,0.027470597689370362
7,harbor,140055,0.06481217401010543
8,bridge,7670,0.07512115699046057
9,large-vehicle,86840,0.05898052607796771
10,small-vehicle,115861,0.08064603331481808
11,helicopter,0,
12,roundabout,10922,0.027521349165890868
13,soccer-ball-field,27994,0.030828618616771598
14,swimming-pool,52001,0.07802790817716211
