name,ods_threshold,ods_f_score
P0063,205,0.16155564012532536
P0081,131,0.05933664784622123
P0198,138,0.3067621305257399
P0308,20,0.126354071441173
P0336,175,0.09576007048752856
P0345,175,0.07065120758163793
P0363,131,0.18647088550991447
P0368,34,0.16579405062610086
P0377,160,0.11036349153206859
P0452,27,0.06467220628163725
P0517,190,0.15424624858209546
P0565,183,0.06843684524563932
P0649,153,0.28001558797590875
P0699,146,0.08802064900204341
P0806,160,0.0986357586800022
P1003,205,0.11245472147531782
P1029,205,0.16301578455097712
P1148,27,0.04596292296202528
P1158,160,0.1044700286516715
P1207,160,1.0
P1216,168,0.1457659115426106
P1242,168,0.15617861659154053
P1358,153,0.09755002255828851
P1522,116,0.04423478138469674
P1676,27,0.015876393399864616
P1693,205,1.0
P1960,160,0.2418392877191077
P2002,20,0.15270223987292783
P2045,71,0.21365514499057134
P2210,175,0.11314914588671432
P2257,116,0.10948299802047928
P2278,183,0.1431602876869019
P2332,175,0.024189107955607414
P2352,146,0.008806091555806929
P2456,94,0.008373852473150293
P2528,20,0.020148191554223212
P2591,20,0.10706888507987024
P2613,175,0.19946933354877938
P2724,160,0.057302155026116415
P2754,190,0.009159448359738124
