name,n_dets,mean_conf
P0063,1,0.29147908091545105
P0081,0,0.0
P0198,0,0.0
P0308,0,0.0
P0336,0,0.0
P0345,0,0.0
P0363,3,0.43389615416526794
P0368,0,0.0
P0377,1,0.25005486607551575
P0452,1,0.38493335247039795
P0517,3,0.34156930446624756
P0565,2,0.3624764084815979
P0649,0,0.0
P0699,4,0.7763694524765015
P0806,0,0.0
P1003,2,0.3408079743385315
P1029,2,0.2893649935722351
P1148,0,0.0
P1158,0,0.0
P1207,0,0.0
P1216,0,0.0
P1242,0,0.0
P1358,0,0.0
P1522,1,0.3359488844871521
P1676,0,0.0
P1693,0,0.0
P1960,1,0.3519555330276489
P2002,1,0.561559796333313
P2045,0,0.0
P2210,1,0.5708423256874084
P2257,0,0.0
P2278,0,0.0
P2332,1,0.3376845717430115
P2352,0,0.0
P2456,1,0.43119654059410095
P2528,0,0.0
P2591,1,0.2580994665622711
P2613,0,0.0
P2724,0,0.0
P2754,0,0.0
