name,n_keypoints,mean_response
P0063,1000,0.0028607302441669164
P0081,1000,0.002279451054200763
P0198,1000,0.0021675630938552785
P0308,1000,0.0008046115969682433
P0336,1000,0.002655315881682327
P0345,1000,0.0006488914846922853
P0363,1000,0.0030132556412900157
P0368,1000,0.0015167089022361325
P0377,1000,0.00027080521166953985
P0452,1000,0.0036319058737426533
P0517,1000,0.005220741830766201
P0565,1000,0.0016034217332853587
P0649,1000,0.00036004445367620973
P0699,1000,0.006791421121684835
P0806,1000,0.0012665324656336453
P1003,1000,0.0014542298884480261
P1029,1000,0.002364088175207144
P1148,910,3.53542358733908e-05
P1158,1000,2.937016370674428e-05
P1207,436,1.996181355470428e-06
P1216,467,2.8172285111146913e-06
P1242,1000,9.345644221525617e-05
P1358,1000,0.0002592265834973659
P1522,1000,0.00012369242497879896
P1676,917,1.123092518206572e-05
P1693,922,1.81664388125994e-05
P1960,1000,0.008046748296590522
P2002,1000,0.005327171300770715
P2045,1000,0.0015518349156336626
P2210,1000,0.003930488213984063
P2257,1000,0.0012371266482005012
P2278,1000,0.0013577172584191431
P2332,1000,0.0007670368153194432
P2352,1000,0.0009799472809099825
P2456,1000,0.002107100880879443
P2528,1000,0.0020575335780449676
P2591,1000,0.0018944830844702665
P2613,1000,0.00614549388870364
P2724,1000,0.000738751461089123
P2754,1000,0.0009209288420970552
