name,ods_threshold,ods_f_score
P0063,220,0.232772393411341
P0081,175,0.07959480237791955
P0198,146,0.3719036677680888
P0308,20,0.1112743907530471
P0336,64,0.08745612692730396
P0345,183,0.06505940843371377
P0363,79,0.2386947194161733
P0368,20,0.16810669319459737
P0377,20,0.13173067067071675
P0452,20,0.061382801263187806
P0517,220,0.201258294342528
P0565,190,0.1028624397991481
P0649,123,0.40456369934109243
P0699,20,0.09796363129262158
P0806,20,0.1495869706562131
P1003,227,0.112707688941953
P1029,227,0.10668158639145889
P1148,20,0.016464738186587974
P1158,20,0.14263476486100723
P1207,20,1.0
P1216,20,0.0
P1242,146,0.1992632215506236
P1358,116,0.15766172805033907
P1522,20,0.0012798706187435518
P1676,20,0.0003157063930544594
P1693,175,1.0
P1960,108,0.3809374985386327
P2002,20,0.2110915608044689
P2045,64,0.18558785254568466
P2210,190,0.16067813330760441
P2257,20,0.12892253998505582
P2278,190,0.14191533939433315
P2332,86,0.03772450760598796
P2352,34,0.005404251125201221
P2456,235,0.005656904266622767
P2528,205,0.024569326905833713
P2591,205,0.11204959283698256
P2613,205,0.29400645911554457
P2724,123,0.045019941397093095
P2754,138,0.0034656588427202945
