class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,38,0.7708333333333334
1,ship,6,31,0.3162393162393163
2,storage-tank,15,4,0.18333333333333335
3,baseball-diamond,11,0,0.0
4,tennis-court,87,16,0.01293103448275862
5,basketball-court,6,0,0.0
6,ground-track-field,9,0,0.0
7,harbor,48,30,0.4529872087956327
8,bridge,10,0,0.0
9,large-vehicle,57,59,0.42308555869992226
10,small-vehicle,175,111,0.5218321816439
11,helicopter,0,1,0.0
12,roundabout,5,0,0.0
13,soccer-ball-field,7,0,0.0
14,swimming-pool,64,1,0.015625
