class_id,class_name,n_gt_px,f_score
0,plane,64509,0.07445195593360454
1,ship,5474,0.007652686561246236
2,storage-tank,5526,0.05850276762371462
3,baseball-diamond,19516,0.009850544757456675
4,tennis-court,194379,0.0811190139954948
5,basketball-court,12744,0.08323736644053496
6,ground-track-field,29502,0.025755588166160272
7,harbor,140055,0.06516706248829335
8,bridge,7670,0.09193524995201231
9,large-vehicle,86840,0.06575298628894705
10,small-vehicle,115861,0.09812706615559877
11,helicopter,0,
12,roundabout,10922,0.028396145277714484
13,soccer-ball-field,27994,0.026256290745440114
14,swimming-pool,52001,0.07957996660428684
