distortion,level,level_numeric,snr_db_mean,name,ods_threshold,ods_f_score,snr_db
haze,0.5,0.5,3.141872703484021,P0063,190,0.2272476861673258,7.361264308432491
haze,0.5,0.5,3.141872703484021,P0081,175,0.089553667893473,0.9446912496363596
haze,0.5,0.5,3.141872703484021,P0198,153,0.4042276532663038,3.176009121557682
haze,0.5,0.5,3.141872703484021,P0308,49,0.1292166947965558,1.228742500895043
haze,0.5,0.5,3.141872703484021,P0336,116,0.0948811725250047,-1.5472183248018336
haze,0.5,0.5,3.141872703484021,P0345,160,0.0587898535206583,0.6465847800752185
haze,0.5,0.5,3.141872703484021,P0363,94,0.1993654685331761,0.8085359916268149
haze,0.5,0.5,3.141872703484021,P0368,42,0.1472201552270681,1.3058336094557883
haze,0.5,0.5,3.141872703484021,P0377,20,0.1378483202729276,-0.328251922167334
haze,0.5,0.5,3.141872703484021,P0452,57,0.0618319916132566,2.8311158182432843
haze,0.5,0.5,3.141872703484021,P0517,197,0.1857587811647651,1.5060505474727128
haze,0.5,0.5,3.141872703484021,P0565,168,0.0950652409104986,-1.886576095549367
haze,0.5,0.5,3.141872703484021,P0649,138,0.3208269539360122,-1.0958142314075023
haze,0.5,0.5,3.141872703484021,P0699,86,0.0884977023531239,0.832006944063308
haze,0.5,0.5,3.141872703484021,P0806,153,0.1243797717359303,5.423615042986257
haze,0.5,0.5,3.141872703484021,P1003,190,0.1094357083696211,-3.075865534098758
haze,0.5,0.5,3.141872703484021,P1029,34,0.1153463251668092,1.454232482125319
haze,0.5,0.5,3.141872703484021,P1148,20,0.0259053292981923,5.410271500105494
haze,0.5,0.5,3.141872703484021,P1158,42,0.081334205953375,1.8773512275205817
haze,0.5,0.5,3.141872703484021,P1207,27,1.0,15.350956011368332
haze,0.5,0.5,3.141872703484021,P1216,42,0.4917982321122301,14.90694668235479
haze,0.5,0.5,3.141872703484021,P1242,168,0.0621989322420019,7.927859820929124
haze,0.5,0.5,3.141872703484021,P1358,131,0.1414136052598849,6.387151597018584
haze,0.5,0.5,3.141872703484021,P1522,123,0.1033757587543808,0.6740611305126085
haze,0.5,0.5,3.141872703484021,P1676,57,0.0157581999199688,6.239809160173539
haze,0.5,0.5,3.141872703484021,P1693,183,1.0,2.2659924574835646
haze,0.5,0.5,3.141872703484021,P1960,94,0.2710400524425213,1.0804351413983797
haze,0.5,0.5,3.141872703484021,P2002,20,0.1876071928514657,4.860032409218513
haze,0.5,0.5,3.141872703484021,P2045,20,0.1953957626625869,-2.115071220323782
haze,0.5,0.5,3.141872703484021,P2210,64,0.1209563249837082,7.906267167456884
haze,0.5,0.5,3.141872703484021,P2257,168,0.1391792321108977,-0.3082821267200897
haze,0.5,0.5,3.141872703484021,P2278,175,0.1381730528046441,5.838380669868601
haze,0.5,0.5,3.141872703484021,P2332,146,0.0902235174245582,5.9761552615503435
haze,0.5,0.5,3.141872703484021,P2352,116,0.0074171106194836,3.965478989544693
haze,0.5,0.5,3.141872703484021,P2456,153,0.0097425402436907,2.9845441851226093
haze,0.5,0.5,3.141872703484021,P2528,138,0.0348629736704644,2.2747921538620504
haze,0.5,0.5,3.141872703484021,P2591,153,0.0986960954036181,2.9597437639520887
haze,0.5,0.5,3.141872703484021,P2613,168,0.1748242868315067,-2.371584975023479
haze,0.5,0.5,3.141872703484021,P2724,123,0.0632148616049205,4.913293274855296
