distortion,level,level_numeric,snr_db_mean,name,snr_db,n_clean_kp,n_dist_kp,n_good,good_ratio
haze,0.5,0.5,3.141872703484021,P0063,7.361264308432491,1000,1000,948,0.948
haze,0.5,0.5,3.141872703484021,P0081,0.9446912496363596,1000,1000,955,0.955
haze,0.5,0.5,3.141872703484021,P0198,3.176009121557682,1000,1000,970,0.97
haze,0.5,0.5,3.141872703484021,P0308,1.228742500895043,1000,1000,938,0.938
haze,0.5,0.5,3.141872703484021,P0336,-1.5472183248018336,1000,1000,968,0.968
haze,0.5,0.5,3.141872703484021,P0345,0.6465847800752185,1000,1000,952,0.952
haze,0.5,0.5,3.141872703484021,P0363,0.8085359916268149,1000,1000,966,0.966
haze,0.5,0.5,3.141872703484021,P0368,1.3058336094557883,1000,1000,956,0.956
haze,0.5,0.5,3.141872703484021,P0377,-0.328251922167334,1000,951,827,0.8696109358569927
haze,0.5,0.5,3.141872703484021,P0452,2.8311158182432843,1000,1000,965,0.965
haze,0.5,0.5,3.141872703484021,P0517,1.5060505474727128,1000,1000,977,0.977
haze,0.5,0.5,3.141872703484021,P0565,-1.886576095549367,1000,1000,969,0.969
haze,0.5,0.5,3.141872703484021,P0649,-1.0958142314075023,1000,919,784,0.85310119695321
haze,0.5,0.5,3.141872703484021,P0699,0.832006944063308,1000,1000,967,0.967
haze,0.5,0.5,3.141872703484021,P0806,5.423615042986257,1000,1000,947,0.947
haze,0.5,0.5,3.141872703484021,P1003,-3.075865534098758,1000,1000,963,0.963
haze,0.5,0.5,3.141872703484021,P1029,1.454232482125319,1000,1000,966,0.966
haze,0.5,0.5,3.141872703484021,P1148,5.410271500105494,417,134,126,0.9402985074626866
haze,0.5,0.5,3.141872703484021,P1158,1.8773512275205817,939,195,184,0.9435897435897436
haze,0.5,0.5,3.141872703484021,P1207,15.350956011368332,93,22,15,0.6818181818181818
haze,0.5,0.5,3.141872703484021,P1216,14.90694668235479,155,8,8,1.0
haze,0.5,0.5,3.141872703484021,P1242,7.927859820929124,1000,666,524,0.7867867867867868
haze,0.5,0.5,3.141872703484021,P1358,6.387151597018584,1000,1000,942,0.942
haze,0.5,0.5,3.141872703484021,P1522,0.6740611305126085,1000,913,713,0.7809419496166484
haze,0.5,0.5,3.141872703484021,P1676,6.239809160173539,536,123,115,0.9349593495934959
haze,0.5,0.5,3.141872703484021,P1693,2.2659924574835646,825,275,265,0.9636363636363636
haze,0.5,0.5,3.141872703484021,P1960,1.0804351413983797,1000,1000,978,0.978
haze,0.5,0.5,3.141872703484021,P2002,4.860032409218513,1000,1000,971,0.971
haze,0.5,0.5,3.141872703484021,P2045,-2.115071220323782,1000,1000,953,0.953
haze,0.5,0.5,3.141872703484021,P2210,7.906267167456884,1000,1000,970,0.97
haze,0.5,0.5,3.141872703484021,P2257,-0.3082821267200897,1000,1000,947,0.947
haze,0.5,0.5,3.141872703484021,P2278,5.838380669868601,1000,1000,957,0.957
haze,0.5,0.5,3.141872703484021,P2332,5.9761552615503435,1000,1000,942,0.942
haze,0.5,0.5,3.141872703484021,P2352,3.965478989544693,1000,1000,949,0.949
haze,0.5,0.5,3.141872703484021,P2456,2.9845441851226093,1000,1000,955,0.955
haze,0.5,0.5,3.141872703484021,P2528,2.2747921538620504,1000,1000,962,0.962
haze,0.5,0.5,3.141872703484021,P2591,2.9597437639520887,1000,1000,959,0.959
haze,0.5,0.5,3.141872703484021,P2613,-2.371584975023479,1000,1000,971,0.971
haze,0.5,0.5,3.141872703484021,P2724,4.913293274855296,1000,1000,945,0.945
haze,0.5,0.5,3.141872703484021,P2754,7.085367568586637,1000,1000,959,0.959
haze,1.0,1.0,-1.0077252033553779,P0063,3.2152907323175235,1000,1000,934,0.934
haze,1.0,1.0,-1.0077252033553779,P0081,-3.1948242776147207,1000,1000,915,0.915
haze,1.0,1.0,-1.0077252033553779,P0198,-0.9654949811926768,1000,1000,945,0.945
haze,1.0,1.0,-1.0077252033553779,P0308,-2.9190371885040136,1000,820,633,0.7719512195121951
haze,1.0,1.0,-1.0077252033553779,P0336,-5.685767931132608,1000,1000,936,0.936
haze,1.0,1.0,-1.0077252033553779,P0345,-3.499576451740745,1000,896,736,0.8214285714285714
haze,1.0,1.0,-1.0077252033553779,P0363,-3.339195950882639,1000,956,888,0.9288702928870293
haze,1.0,1.0,-1.0077252033553779,P0368,-2.839968472432817,1000,941,848,0.9011689691817216
haze,1.0,1.0,-1.0077252033553779,P0377,-4.45875790958379,1000,539,411,0.7625231910946196
haze,1.0,1.0,-1.0077252033553779,P0452,-1.306448816763698,1000,996,930,0.9337349397590361
haze,1.0,1.0,-1.0077252033553779,P0517,-2.6337791285198087,1000,1000,953,0.953
haze,1.0,1.0,-1.0077252033553779,P0565,-6.024823907121242,1000,971,868,0.893923789907312
haze,1.0,1.0,-1.0077252033553779,P0649,-5.212375653973553,1000,299,266,0.8896321070234113
haze,1.0,1.0,-1.0077252033553779,P0699,-3.286180707927388,1000,1000,921,0.921
haze,1.0,1.0,-1.0077252033553779,P0806,1.2793212425153024,1000,979,876,0.8947906026557712
haze,1.0,1.0,-1.0077252033553779,P1003,-7.224242106734896,1000,1000,906,0.906
haze,1.0,1.0,-1.0077252033553779,P1029,-2.6859680983951346,1000,1000,928,0.928
haze,1.0,1.0,-1.0077252033553779,P1148,1.2663023037089949,417,35,34,0.9714285714285714
haze,1.0,1.0,-1.0077252033553779,P1158,-2.263395040683667,939,54,53,0.9814814814814815
haze,1.0,1.0,-1.0077252033553779,P1207,11.096570809192324,93,4,4,1.0
haze,1.0,1.0,-1.0077252033553779,P1216,10.626127382201172,155,0,0,0.0
haze,1.0,1.0,-1.0077252033553779,P1242,3.7656718704473113,1000,174,168,0.9655172413793104
haze,1.0,1.0,-1.0077252033553779,P1358,2.2343840047325108,1000,807,654,0.8104089219330854
haze,1.0,1.0,-1.0077252033553779,P1522,-3.4716154371810086,1000,227,219,0.9647577092511013
haze,1.0,1.0,-1.0077252033553779,P1676,2.0568380606665446,536,24,24,1.0
haze,1.0,1.0,-1.0077252033553779,P1693,-1.9092666431754388,825,43,40,0.9302325581395349
haze,1.0,1.0,-1.0077252033553779,P1960,-3.059641652799325,1000,1000,957,0.957
haze,1.0,1.0,-1.0077252033553779,P2002,0.7178100141676964,1000,1000,957,0.957
haze,1.0,1.0,-1.0077252033553779,P2045,-6.2623796195255474,1000,988,865,0.8755060728744939
haze,1.0,1.0,-1.0077252033553779,P2210,3.757887282384336,1000,1000,946,0.946
haze,1.0,1.0,-1.0077252033553779,P2257,-4.431120678661079,1000,961,857,0.8917793964620188
haze,1.0,1.0,-1.0077252033553779,P2278,1.6961726678617888,1000,1000,914,0.914
haze,1.0,1.0,-1.0077252033553779,P2332,1.8305272220529856,1000,1000,922,0.922
haze,1.0,1.0,-1.0077252033553779,P2352,-0.1780756366915568,1000,985,899,0.9126903553299492
haze,1.0,1.0,-1.0077252033553779,P2456,-1.1572081101382818,1000,1000,941,0.941
haze,1.0,1.0,-1.0077252033553779,P2528,-1.86609036829008,1000,1000,946,0.946
haze,1.0,1.0,-1.0077252033553779,P2591,-1.1835231932628774,1000,1000,924,0.924
haze,1.0,1.0,-1.0077252033553779,P2613,-6.50277438202946,1000,1000,961,0.961
haze,1.0,1.0,-1.0077252033553779,P2724,0.769638618008045,1000,1000,908,0.908
haze,1.0,1.0,-1.0077252033553779,P2754,2.939982000486405,1000,1000,919,0.919
