distortion,level,level_numeric,snr_db_mean,class_id,class_name,n_gt,n_pred,ap_iou50
haze,0.5,0.5,3.141872703484021,0,plane,48,52,0.8910227272727272
haze,0.5,0.5,3.141872703484021,1,ship,6,9,0.8634920634920634
haze,0.5,0.5,3.141872703484021,2,storage-tank,15,23,0.9215686274509804
haze,0.5,0.5,3.141872703484021,3,baseball-diamond,11,8,0.7272727272727273
haze,0.5,0.5,3.141872703484021,4,tennis-court,87,85,0.964705882352941
haze,0.5,0.5,3.141872703484021,5,basketball-court,6,6,0.8333333333333334
haze,0.5,0.5,3.141872703484021,6,ground-track-field,9,8,0.8888888888888888
haze,0.5,0.5,3.141872703484021,7,harbor,48,44,0.7866036821705427
haze,0.5,0.5,3.141872703484021,8,bridge,10,9,0.8
haze,0.5,0.5,3.141872703484021,9,large-vehicle,57,75,0.7226462153390959
haze,0.5,0.5,3.141872703484021,10,small-vehicle,175,148,0.6859665618138627
haze,0.5,0.5,3.141872703484021,11,helicopter,0,0,
haze,0.5,0.5,3.141872703484021,12,roundabout,5,3,0.3333333333333333
haze,0.5,0.5,3.141872703484021,13,soccer-ball-field,7,4,0.5714285714285714
haze,0.5,0.5,3.141872703484021,14,swimming-pool,64,16,0.2104166666666667
haze,1.0,1.0,-1.0077252033553779,0,plane,48,51,0.8916337285902503
haze,1.0,1.0,-1.0077252033553779,1,ship,6,6,0.5277777777777777
haze,1.0,1.0,-1.0077252033553779,2,storage-tank,15,11,0.5674242424242425
haze,1.0,1.0,-1.0077252033553779,3,baseball-diamond,11,6,0.5454545454545454
haze,1.0,1.0,-1.0077252033553779,4,tennis-court,87,81,0.9191145168156662
haze,1.0,1.0,-1.0077252033553779,5,basketball-court,6,4,0.5
haze,1.0,1.0,-1.0077252033553779,6,ground-track-field,9,5,0.5555555555555556
haze,1.0,1.0,-1.0077252033553779,7,harbor,48,38,0.680824118062228
haze,1.0,1.0,-1.0077252033553779,8,bridge,10,9,0.788888888888889
haze,1.0,1.0,-1.0077252033553779,9,large-vehicle,57,71,0.7519635689907167
haze,1.0,1.0,-1.0077252033553779,10,small-vehicle,175,146,0.6956969325476818
haze,1.0,1.0,-1.0077252033553779,11,helicopter,0,0,
haze,1.0,1.0,-1.0077252033553779,12,roundabout,5,2,0.1
haze,1.0,1.0,-1.0077252033553779,13,soccer-ball-field,7,2,0.2857142857142857
haze,1.0,1.0,-1.0077252033553779,14,swimming-pool,64,11,0.134375
haze,1.5,1.5,-2.808582539633451,0,plane,48,47,0.8912951705504898
haze,1.5,1.5,-2.808582539633451,1,ship,6,4,0.4166666666666666
haze,1.5,1.5,-2.808582539633451,2,storage-tank,15,7,0.311111111111111
haze,1.5,1.5,-2.808582539633451,3,baseball-diamond,11,3,0.2727272727272727
haze,1.5,1.5,-2.808582539633451,4,tennis-court,87,74,0.8383038210624418
haze,1.5,1.5,-2.808582539633451,5,basketball-court,6,4,0.5
haze,1.5,1.5,-2.808582539633451,6,ground-track-field,9,1,0.1111111111111111
haze,1.5,1.5,-2.808582539633451,7,harbor,48,35,0.5959201388888887
haze,1.5,1.5,-2.808582539633451,8,bridge,10,7,0.7
haze,1.5,1.5,-2.808582539633451,9,large-vehicle,57,62,0.7702544229636993
haze,1.5,1.5,-2.808582539633451,10,small-vehicle,175,135,0.6746695559894066
haze,1.5,1.5,-2.808582539633451,11,helicopter,0,0,
haze,1.5,1.5,-2.808582539633451,12,roundabout,5,0,0.0
haze,1.5,1.5,-2.808582539633451,13,soccer-ball-field,7,2,0.2857142857142857
haze,1.5,1.5,-2.808582539633451,14,swimming-pool,64,4,0.0625
haze,2.0,2.0,-3.745351966101456,0,plane,48,42,0.8318204365079365
haze,2.0,2.0,-3.745351966101456,1,ship,6,4,0.4166666666666666
haze,2.0,2.0,-3.745351966101456,2,storage-tank,15,5,0.0666666666666666
haze,2.0,2.0,-3.745351966101456,3,baseball-diamond,11,1,0.0909090909090909
haze,2.0,2.0,-3.745351966101456,4,tennis-court,87,58,0.6551724137931034
haze,2.0,2.0,-3.745351966101456,5,basketball-court,6,2,0.3333333333333333
haze,2.0,2.0,-3.745351966101456,6,ground-track-field,9,0,0.0
haze,2.0,2.0,-3.745351966101456,7,harbor,48,31,0.5754215542521994
haze,2.0,2.0,-3.745351966101456,8,bridge,10,5,0.5
haze,2.0,2.0,-3.745351966101456,9,large-vehicle,57,43,0.6747409063198536
haze,2.0,2.0,-3.745351966101456,10,small-vehicle,175,117,0.6300321714706356
haze,2.0,2.0,-3.745351966101456,11,helicopter,0,0,
haze,2.0,2.0,-3.745351966101456,12,roundabout,5,0,0.0
haze,2.0,2.0,-3.745351966101456,13,soccer-ball-field,7,1,0.1428571428571428
haze,2.0,2.0,-3.745351966101456,14,swimming-pool,64,0,0.0
haze,2.5,2.5,-4.268570215477657,0,plane,48,40,0.7911324786324786
haze,2.5,2.5,-4.268570215477657,1,ship,6,3,0.5
haze,2.5,2.5,-4.268570215477657,2,storage-tank,15,4,0.0222222222222222
haze,2.5,2.5,-4.268570215477657,3,baseball-diamond,11,0,0.0
haze,2.5,2.5,-4.268570215477657,4,tennis-court,87,44,0.5057471264367817
haze,2.5,2.5,-4.268570215477657,5,basketball-court,6,2,0.3333333333333333
haze,2.5,2.5,-4.268570215477657,6,ground-track-field,9,0,0.0
haze,2.5,2.5,-4.268570215477657,7,harbor,48,14,0.2418154761904762
haze,2.5,2.5,-4.268570215477657,8,bridge,10,1,0.1
haze,2.5,2.5,-4.268570215477657,9,large-vehicle,57,6,0.1052631578947368
haze,2.5,2.5,-4.268570215477657,10,small-vehicle,175,52,0.2905494505494506
haze,2.5,2.5,-4.268570215477657,11,helicopter,0,0,
haze,2.5,2.5,-4.268570215477657,12,roundabout,5,0,0.0
