epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,167.815,1.32083,1.51273,2.75427,0.07275,0.85467,0.71219,0.76482,0.60016,1.08951,0.83727,2.28549,0.02528,0.00017442,0.00017442,0.00017442
2,323.875,1.2952,1.22611,2.08746,0.05802,0.84457,0.71997,0.80685,0.62589,1.08156,0.85989,1.98524,0.01854,0.000315128,0.000315128,0.000315128
3,483.847,1.27183,1.19641,1.91727,0.06072,0.83593,0.73657,0.81329,0.61424,1.05634,0.84982,1.90617,0.02544,0.00042112,0.00042112,0.00042112
4,645.709,1.24483,1.10761,1.83225,0.05451,0.86536,0.73677,0.80783,0.6122,1.07648,0.83625,1.82499,0.02177,0.000369778,0.000369778,0.000369778
5,808.298,1.22523,1.11212,1.7333,0.05609,0.8385,0.68179,0.76714,0.57234,1.09547,0.90763,1.765,0.0217,0.000317704,0.000317704,0.000317704
6,974.647,1.21442,1.06242,1.68553,0.0557,0.85309,0.72693,0.79426,0.59434,1.07338,0.87632,1.72224,0.02281,0.00026563,0.00026563,0.00026563
7,1155.8,1.11417,0.94205,1.67284,0.04849,0.80261,0.72071,0.79159,0.60299,1.05822,0.86087,1.69801,0.01799,0.000213556,0.000213556,0.000213556
8,1328.08,1.07195,0.87576,1.62117,0.04133,0.85266,0.68855,0.78951,0.59917,1.06137,0.83558,1.6903,0.01761,0.000161482,0.000161482,0.000161482
9,1505.61,1.13,0.96634,1.61886,0.05089,0.8401,0.70614,0.79938,0.60022,1.04653,0.84469,1.68335,0.01991,0.000109408,0.000109408,0.000109408
10,1730.3,1.13346,0.94545,1.59347,0.04772,0.74432,0.77198,0.8086,0.61315,1.04883,0.84821,1.66917,0.01825,5.7334e-05,5.7334e-05,5.7334e-05
