epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,141.936,1.08416,1.0299,2.68692,0.04936,0.80441,0.61827,0.68286,0.51532,1.15192,0.99367,2.24143,0.02701,0.00017442,0.00017442,0.00017442
2,294.534,1.05782,0.85939,1.98737,0.03873,0.73071,0.59539,0.64264,0.47898,1.16384,1.01248,1.94689,0.02409,0.000315128,0.000315128,0.000315128
3,452.682,1.04855,0.80914,1.81829,0.03615,0.74129,0.60453,0.67005,0.50959,1.1482,1.06043,1.83252,0.02714,0.00042112,0.00042112,0.00042112
4,640.232,1.04972,0.79107,1.7074,0.0346,0.80021,0.61796,0.68213,0.51898,1.15379,0.99907,1.76958,0.02765,0.000369778,0.000369778,0.000369778
5,815.014,1.01122,0.74409,1.59542,0.03448,0.78235,0.62448,0.69192,0.52098,1.15465,0.97079,1.72111,0.02838,0.000317704,0.000317704,0.000317704
6,976.338,0.96898,0.69571,1.54233,0.03196,0.76804,0.65034,0.69641,0.52857,1.14019,0.98231,1.67623,0.03036,0.00026563,0.00026563,0.00026563
7,1196.48,0.94963,0.68832,1.54402,0.03177,0.81909,0.61258,0.68928,0.50617,1.15969,1.04292,1.65783,0.02603,0.000213556,0.000213556,0.000213556
8,1424.64,0.91165,0.62161,1.50167,0.02716,0.82235,0.5943,0.68906,0.50761,1.14873,1.02423,1.64441,0.02403,0.000161482,0.000161482,0.000161482
9,1656.24,0.90867,0.626,1.46827,0.02924,0.75492,0.63336,0.68662,0.5084,1.11865,0.99305,1.6383,0.02365,0.000109408,0.000109408,0.000109408
10,1901.4,0.89881,0.61305,1.45376,0.02643,0.78013,0.63678,0.7043,0.52885,1.11872,0.96746,1.63313,0.02421,5.7334e-05,5.7334e-05,5.7334e-05
