epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,199.188,1.00196,0.84183,2.67263,0.04019,0.78903,0.82605,0.8561,0.67533,1.06682,0.7826,2.15815,0.02192,0.00017442,0.00017442,0.00017442
2,403.736,0.97798,0.72962,1.96165,0.0299,0.84723,0.79004,0.83115,0.64546,1.06551,0.84763,1.92809,0.02369,0.000315128,0.000315128,0.000315128
3,620.834,0.96032,0.6779,1.80056,0.02822,0.90241,0.76524,0.84196,0.66682,1.01606,0.81199,1.82074,0.02549,0.00042112,0.00042112,0.00042112
4,850.356,0.9684,0.66531,1.69848,0.02991,0.88238,0.76493,0.82667,0.63683,1.04001,0.85976,1.73691,0.02475,0.000369778,0.000369778,0.000369778
5,1051.12,0.95111,0.65111,1.57965,0.03187,0.81164,0.74695,0.81584,0.62485,1.03747,0.90904,1.66374,0.02321,0.000317704,0.000317704,0.000317704
6,1246.83,0.9038,0.61026,1.50455,0.0295,0.85218,0.76269,0.80754,0.6401,1.03902,0.95757,1.64908,0.02484,0.00026563,0.00026563,0.00026563
7,1418.72,0.87638,0.58905,1.52978,0.02714,0.87293,0.77372,0.81068,0.63646,1.0447,0.91375,1.6425,0.02435,0.000213556,0.000213556,0.000213556
8,1598.67,0.84352,0.55935,1.478,0.02492,0.82231,0.80833,0.81824,0.63229,1.04957,0.87526,1.59804,0.02624,0.000161482,0.000161482,0.000161482
9,1795.17,0.85326,0.56214,1.44307,0.02726,0.82778,0.79878,0.82359,0.63659,1.03751,0.87502,1.59343,0.02443,0.000109408,0.000109408,0.000109408
10,1986.49,0.82959,0.5525,1.4286,0.02233,0.86517,0.79683,0.83265,0.65256,1.02421,0.90148,1.59143,0.02375,5.7334e-05,5.7334e-05,5.7334e-05
