name,n_dets,mean_conf
P0063,0,0.0
P0081,3,0.5298244953155518
P0198,23,0.894504725933075
P0308,3,0.3576831817626953
P0336,6,0.7161644101142883
P0345,3,0.47755804657936096
P0363,25,0.6526538133621216
P0368,16,0.6179482340812683
P0377,6,0.9090344905853271
P0452,5,0.7540913820266724
P0517,13,0.6484284996986389
P0565,4,0.6944841146469116
P0649,4,0.763999342918396
P0699,11,0.7983247637748718
P0806,10,0.773289144039154
P1003,6,0.7641099095344543
P1029,17,0.6843681335449219
P1148,2,0.45070743560791016
P1158,2,0.6825366020202637
P1207,0,0.0
P1216,0,0.0
P1242,5,0.5837486982345581
P1358,11,0.5563634634017944
P1522,0,0.0
P1676,1,0.32998573780059814
P1693,0,0.0
P1960,80,0.6438578367233276
P2002,38,0.7194515466690063
P2045,12,0.729773223400116
P2210,36,0.7893087863922119
P2257,7,0.5913205146789551
P2278,3,0.4229221045970917
P2332,1,0.7759767174720764
P2352,3,0.38009777665138245
P2456,1,0.7376716136932373
P2528,4,0.3439705967903137
P2591,7,0.42875832319259644
P2613,46,0.5393450856208801
P2724,1,0.29236939549446106
P2754,2,0.5107022523880005
