class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,49,0.875
1,ship,6,4,0.3333333333333333
2,storage-tank,15,5,0.3333333333333333
3,baseball-diamond,11,3,0.2727272727272727
4,tennis-court,87,94,0.6803071746013506
5,basketball-court,6,0,0.0
6,ground-track-field,9,6,0.3777777777777778
7,harbor,48,35,0.6511846405228758
8,bridge,10,7,0.44285714285714284
9,large-vehicle,57,116,0.6648330407490741
10,small-vehicle,175,81,0.3927158330481857
11,helicopter,0,0,
12,roundabout,5,1,0.2
13,soccer-ball-field,7,6,0.2571428571428571
14,swimming-pool,64,10,0.09151785714285714
