class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,43,0.874515503875969
1,ship,6,9,0.6666666666666666
2,storage-tank,15,7,0.4
3,baseball-diamond,11,5,0.32727272727272727
4,tennis-court,87,76,0.8619177253478524
5,basketball-court,6,0,0.0
6,ground-track-field,9,4,0.3055555555555555
7,harbor,48,49,0.7174822600786989
8,bridge,10,9,0.6749999999999999
9,large-vehicle,57,93,0.578006355469259
10,small-vehicle,175,138,0.6283182453987847
11,helicopter,0,0,
12,roundabout,5,4,0.4
13,soccer-ball-field,7,7,0.5238095238095237
14,swimming-pool,64,2,0.015625
