name,n_dets,mean_conf
P0063,0,0.0
P0081,2,0.5152910947799683
P0198,19,0.9168912172317505
P0308,8,0.5759059190750122
P0336,7,0.6555557250976562
P0345,5,0.6091419458389282
P0363,31,0.7404899597167969
P0368,14,0.7077065110206604
P0377,6,0.8712668418884277
P0452,4,0.8192157745361328
P0517,16,0.666358470916748
P0565,4,0.5622466802597046
P0649,3,0.6938877701759338
P0699,10,0.8302868604660034
P0806,11,0.820070207118988
P1003,8,0.6243225336074829
P1029,22,0.7187840938568115
P1148,2,0.7720295190811157
P1158,2,0.6105442047119141
P1207,0,0.0
P1216,1,0.6519924998283386
P1242,11,0.6174525618553162
P1358,11,0.6302473545074463
P1522,3,0.4613972008228302
P1676,2,0.749173641204834
P1693,0,0.0
P1960,83,0.6912522912025452
P2002,38,0.7550292611122131
P2045,35,0.6971786618232727
P2210,35,0.8310694694519043
P2257,12,0.7641938328742981
P2278,2,0.5478085279464722
P2332,1,0.6705727577209473
P2352,1,0.2585153579711914
P2456,0,0.0
P2528,3,0.39886999130249023
P2591,16,0.8440864682197571
P2613,39,0.6751481890678406
P2724,5,0.33195462822914124
P2754,3,0.351686030626297
