name,n_dets,mean_conf
P0063,8,0.41735607385635376
P0081,3,0.5694530606269836
P0198,19,0.8527868390083313
P0308,4,0.5343577265739441
P0336,7,0.5684948563575745
P0345,4,0.6759759783744812
P0363,27,0.6484541296958923
P0368,13,0.5195983052253723
P0377,6,0.7725121378898621
P0452,9,0.5736870169639587
P0517,13,0.6146023869514465
P0565,5,0.6312597990036011
P0649,5,0.7045465111732483
P0699,11,0.78957599401474
P0806,11,0.6837310194969177
P1003,6,0.7518317699432373
P1029,19,0.7343950271606445
P1148,2,0.8083265423774719
P1158,4,0.4857088327407837
P1207,0,0.0
P1216,1,0.7035936117172241
P1242,10,0.6939160227775574
P1358,12,0.7359886765480042
P1522,6,0.653301477432251
P1676,3,0.5784790515899658
P1693,0,0.0
P1960,80,0.6282960772514343
P2002,39,0.7316323518753052
P2045,12,0.8852791786193848
P2210,36,0.7885522842407227
P2257,13,0.6894814968109131
P2278,2,0.36327892541885376
P2332,3,0.5042271018028259
P2352,3,0.4115496575832367
P2456,0,0.0
P2528,4,0.6100934147834778
P2591,17,0.8244844079017639
P2613,43,0.5935084819793701
P2724,0,0.0
P2754,2,0.2962644100189209
