class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,50,0.8953598484848485
1,ship,6,9,0.6666666666666666
2,storage-tank,15,8,0.4666666666666667
3,baseball-diamond,11,4,0.36363636363636365
4,tennis-court,87,93,0.9382304916950972
5,basketball-court,6,2,0.3333333333333333
6,ground-track-field,9,7,0.6666666666666666
7,harbor,48,42,0.7463646885521885
8,bridge,10,7,0.6
9,large-vehicle,57,116,0.7401113625904983
10,small-vehicle,175,85,0.4100610864173277
11,helicopter,0,0,
12,roundabout,5,5,0.2
13,soccer-ball-field,7,7,0.5102040816326531
14,swimming-pool,64,8,0.06705729166666666
