distortion,level,level_numeric,snr_db_mean,class_id,class_name,n_gt,n_pred,ap_iou50
haze,0.5,0.5,3.141872703484021,0,plane,48,50,0.845875850340136
haze,0.5,0.5,3.141872703484021,1,ship,6,12,0.6708333333333334
haze,0.5,0.5,3.141872703484021,2,storage-tank,15,19,0.8577777777777779
haze,0.5,0.5,3.141872703484021,3,baseball-diamond,11,6,0.5454545454545454
haze,0.5,0.5,3.141872703484021,4,tennis-court,87,91,0.916568085751723
haze,0.5,0.5,3.141872703484021,5,basketball-court,6,0,0.0
haze,0.5,0.5,3.141872703484021,6,ground-track-field,9,3,0.3333333333333333
haze,0.5,0.5,3.141872703484021,7,harbor,48,40,0.7372742518059855
haze,0.5,0.5,3.141872703484021,8,bridge,10,11,0.8386363636363636
haze,0.5,0.5,3.141872703484021,9,large-vehicle,57,112,0.7037657941827407
haze,0.5,0.5,3.141872703484021,10,small-vehicle,175,70,0.3425196243943931
haze,0.5,0.5,3.141872703484021,11,helicopter,0,0,
haze,0.5,0.5,3.141872703484021,12,roundabout,5,5,0.2
haze,0.5,0.5,3.141872703484021,13,soccer-ball-field,7,6,0.5428571428571428
haze,0.5,0.5,3.141872703484021,14,swimming-pool,64,6,0.0729166666666666
haze,1.0,1.0,-1.0077252033553779,0,plane,48,52,0.850008234519104
haze,1.0,1.0,-1.0077252033553779,1,ship,6,12,0.7777777777777778
haze,1.0,1.0,-1.0077252033553779,2,storage-tank,15,16,0.814814814814815
haze,1.0,1.0,-1.0077252033553779,3,baseball-diamond,11,9,0.7171717171717171
haze,1.0,1.0,-1.0077252033553779,4,tennis-court,87,94,0.9300479910275412
haze,1.0,1.0,-1.0077252033553779,5,basketball-court,6,0,0.0
haze,1.0,1.0,-1.0077252033553779,6,ground-track-field,9,7,0.3333333333333333
haze,1.0,1.0,-1.0077252033553779,7,harbor,48,41,0.7238069641764048
haze,1.0,1.0,-1.0077252033553779,8,bridge,10,11,1.0
haze,1.0,1.0,-1.0077252033553779,9,large-vehicle,57,118,0.6529115912232109
haze,1.0,1.0,-1.0077252033553779,10,small-vehicle,175,73,0.3747803825853603
haze,1.0,1.0,-1.0077252033553779,11,helicopter,0,0,
haze,1.0,1.0,-1.0077252033553779,12,roundabout,5,7,0.2
haze,1.0,1.0,-1.0077252033553779,13,soccer-ball-field,7,8,0.5142857142857142
haze,1.0,1.0,-1.0077252033553779,14,swimming-pool,64,7,0.109375
haze,1.5,1.5,-2.808582539633451,0,plane,48,50,0.8691392770876467
haze,1.5,1.5,-2.808582539633451,1,ship,6,9,0.8333333333333334
haze,1.5,1.5,-2.808582539633451,2,storage-tank,15,12,0.5757575757575758
haze,1.5,1.5,-2.808582539633451,3,baseball-diamond,11,11,0.7272727272727273
haze,1.5,1.5,-2.808582539633451,4,tennis-court,87,95,0.9301934398654332
haze,1.5,1.5,-2.808582539633451,5,basketball-court,6,0,0.0
haze,1.5,1.5,-2.808582539633451,6,ground-track-field,9,8,0.4074074074074074
haze,1.5,1.5,-2.808582539633451,7,harbor,48,41,0.7056853254769921
haze,1.5,1.5,-2.808582539633451,8,bridge,10,9,0.8
haze,1.5,1.5,-2.808582539633451,9,large-vehicle,57,112,0.6633646806840447
haze,1.5,1.5,-2.808582539633451,10,small-vehicle,175,78,0.4051431882251554
haze,1.5,1.5,-2.808582539633451,11,helicopter,0,0,
haze,1.5,1.5,-2.808582539633451,12,roundabout,5,7,0.2
haze,1.5,1.5,-2.808582539633451,13,soccer-ball-field,7,8,0.4857142857142856
haze,1.5,1.5,-2.808582539633451,14,swimming-pool,64,9,0.1232638888888889
haze,2.0,2.0,-3.745351966101456,0,plane,48,50,0.8909244317882192
haze,2.0,2.0,-3.745351966101456,1,ship,6,8,0.7380952380952381
haze,2.0,2.0,-3.745351966101456,2,storage-tank,15,7,0.4666666666666667
haze,2.0,2.0,-3.745351966101456,3,baseball-diamond,11,8,0.7272727272727273
haze,2.0,2.0,-3.745351966101456,4,tennis-court,87,95,0.9296184738955824
haze,2.0,2.0,-3.745351966101456,5,basketball-court,6,1,0.1666666666666666
haze,2.0,2.0,-3.745351966101456,6,ground-track-field,9,8,0.6507936507936507
haze,2.0,2.0,-3.745351966101456,7,harbor,48,42,0.7343790468790469
haze,2.0,2.0,-3.745351966101456,8,bridge,10,7,0.5857142857142856
haze,2.0,2.0,-3.745351966101456,9,large-vehicle,57,110,0.6759754477462908
haze,2.0,2.0,-3.745351966101456,10,small-vehicle,175,88,0.4317105045393523
haze,2.0,2.0,-3.745351966101456,11,helicopter,0,0,
haze,2.0,2.0,-3.745351966101456,12,roundabout,5,5,0.2
haze,2.0,2.0,-3.745351966101456,13,soccer-ball-field,7,8,0.3928571428571428
haze,2.0,2.0,-3.745351966101456,14,swimming-pool,64,8,0.0872395833333333
haze,2.5,2.5,-4.268570215477657,0,plane,48,49,0.8929894179894181
haze,2.5,2.5,-4.268570215477657,1,ship,6,4,0.3333333333333333
haze,2.5,2.5,-4.268570215477657,2,storage-tank,15,6,0.4
haze,2.5,2.5,-4.268570215477657,3,baseball-diamond,11,4,0.3636363636363636
haze,2.5,2.5,-4.268570215477657,4,tennis-court,87,100,0.8308495976680061
haze,2.5,2.5,-4.268570215477657,5,basketball-court,6,0,0.0
haze,2.5,2.5,-4.268570215477657,6,ground-track-field,9,9,0.5555555555555556
haze,2.5,2.5,-4.268570215477657,7,harbor,48,40,0.7097148722148723
haze,2.5,2.5,-4.268570215477657,8,bridge,10,8,0.6
haze,2.5,2.5,-4.268570215477657,9,large-vehicle,57,110,0.6998402024372347
haze,2.5,2.5,-4.268570215477657,10,small-vehicle,175,91,0.4597299011946172
haze,2.5,2.5,-4.268570215477657,11,helicopter,0,0,
haze,2.5,2.5,-4.268570215477657,12,roundabout,5,2,0.2
haze,2.5,2.5,-4.268570215477657,13,soccer-ball-field,7,7,0.3214285714285714
haze,2.5,2.5,-4.268570215477657,14,swimming-pool,64,10,0.0915178571428571
haze,3.0,3.0,-4.564046168308607,0,plane,48,49,0.875
haze,3.0,3.0,-4.564046168308607,1,ship,6,4,0.3333333333333333
haze,3.0,3.0,-4.564046168308607,2,storage-tank,15,5,0.3333333333333333
haze,3.0,3.0,-4.564046168308607,3,baseball-diamond,11,3,0.2727272727272727
haze,3.0,3.0,-4.564046168308607,4,tennis-court,87,94,0.6803071746013506
haze,3.0,3.0,-4.564046168308607,5,basketball-court,6,0,0.0
haze,3.0,3.0,-4.564046168308607,6,ground-track-field,9,6,0.3777777777777778
haze,3.0,3.0,-4.564046168308607,7,harbor,48,35,0.6511846405228758
haze,3.0,3.0,-4.564046168308607,8,bridge,10,7,0.4428571428571428
haze,3.0,3.0,-4.564046168308607,9,large-vehicle,57,116,0.6648330407490741
haze,3.0,3.0,-4.564046168308607,10,small-vehicle,175,81,0.3927158330481857
haze,3.0,3.0,-4.564046168308607,11,helicopter,0,0,
haze,3.0,3.0,-4.564046168308607,12,roundabout,5,1,0.2
haze,3.0,3.0,-4.564046168308607,13,soccer-ball-field,7,6,0.2571428571428571
haze,3.0,3.0,-4.564046168308607,14,swimming-pool,64,10,0.0915178571428571
jpeg,1,1.0,14.156771236721948,0,plane,48,50,0.8921469497809235
jpeg,1,1.0,14.156771236721948,1,ship,6,6,0.4166666666666666
jpeg,1,1.0,14.156771236721948,2,storage-tank,15,3,0.2
jpeg,1,1.0,14.156771236721948,3,baseball-diamond,11,0,0.0
jpeg,1,1.0,14.156771236721948,4,tennis-court,87,69,0.6278013307065015
jpeg,1,1.0,14.156771236721948,5,basketball-court,6,0,0.0
jpeg,1,1.0,14.156771236721948,6,ground-track-field,9,1,0.1111111111111111
jpeg,1,1.0,14.156771236721948,7,harbor,48,48,0.6730899932517111
jpeg,1,1.0,14.156771236721948,8,bridge,10,9,0.2
jpeg,1,1.0,14.156771236721948,9,large-vehicle,57,120,0.4691412738481063
jpeg,1,1.0,14.156771236721948,10,small-vehicle,175,74,0.3133902334068835
jpeg,1,1.0,14.156771236721948,11,helicopter,0,0,
jpeg,1,1.0,14.156771236721948,12,roundabout,5,3,0.1
jpeg,1,1.0,14.156771236721948,13,soccer-ball-field,7,5,0.1285714285714285
jpeg,1,1.0,14.156771236721948,14,swimming-pool,64,18,0.009375
jpeg,3,3.0,14.437534838522705,0,plane,48,48,0.9097761148066024
jpeg,3,3.0,14.437534838522705,1,ship,6,5,0.3777777777777777
jpeg,3,3.0,14.437534838522705,2,storage-tank,15,4,0.2
jpeg,3,3.0,14.437534838522705,3,baseball-diamond,11,0,0.0
jpeg,3,3.0,14.437534838522705,4,tennis-court,87,69,0.6799012991487452
jpeg,3,3.0,14.437534838522705,5,basketball-court,6,0,0.0
jpeg,3,3.0,14.437534838522705,6,ground-track-field,9,1,0.1111111111111111
jpeg,3,3.0,14.437534838522705,7,harbor,48,48,0.7022212299143195
jpeg,3,3.0,14.437534838522705,8,bridge,10,10,0.3166666666666666
jpeg,3,3.0,14.437534838522705,9,large-vehicle,57,119,0.4850427625128916
jpeg,3,3.0,14.437534838522705,10,small-vehicle,175,84,0.3890006734454351
jpeg,3,3.0,14.437534838522705,11,helicopter,0,0,
jpeg,3,3.0,14.437534838522705,12,roundabout,5,3,0.2
