distortion,level,level_numeric,snr_db_mean,class_id,class_name,n_gt,n_pred,ap_iou50
haze,0.5,0.5,3.141872703484021,0,plane,48,44,0.8522380820399111
haze,0.5,0.5,3.141872703484021,1,ship,6,8,0.9285714285714284
haze,0.5,0.5,3.141872703484021,2,storage-tank,15,22,0.8250377073906485
haze,0.5,0.5,3.141872703484021,3,baseball-diamond,11,9,0.7272727272727273
haze,0.5,0.5,3.141872703484021,4,tennis-court,87,88,0.9651115618661256
haze,0.5,0.5,3.141872703484021,5,basketball-court,6,5,0.8333333333333334
haze,0.5,0.5,3.141872703484021,6,ground-track-field,9,6,0.6666666666666666
haze,0.5,0.5,3.141872703484021,7,harbor,48,44,0.79494191994192
haze,0.5,0.5,3.141872703484021,8,bridge,10,10,0.9
haze,0.5,0.5,3.141872703484021,9,large-vehicle,57,79,0.6681043673748013
haze,0.5,0.5,3.141872703484021,10,small-vehicle,175,145,0.6888903415216707
haze,0.5,0.5,3.141872703484021,11,helicopter,0,0,
haze,0.5,0.5,3.141872703484021,12,roundabout,5,2,0.4
haze,0.5,0.5,3.141872703484021,13,soccer-ball-field,7,4,0.5714285714285714
haze,0.5,0.5,3.141872703484021,14,swimming-pool,64,14,0.1826923076923077
haze,1.0,1.0,-1.0077252033553779,0,plane,48,46,0.8939393939393939
haze,1.0,1.0,-1.0077252033553779,1,ship,6,7,0.7380952380952381
haze,1.0,1.0,-1.0077252033553779,2,storage-tank,15,23,0.8667379679144386
haze,1.0,1.0,-1.0077252033553779,3,baseball-diamond,11,8,0.7272727272727273
haze,1.0,1.0,-1.0077252033553779,4,tennis-court,87,87,0.9651115618661256
haze,1.0,1.0,-1.0077252033553779,5,basketball-court,6,5,0.8333333333333334
haze,1.0,1.0,-1.0077252033553779,6,ground-track-field,9,7,0.7777777777777778
haze,1.0,1.0,-1.0077252033553779,7,harbor,48,44,0.7915635415635417
haze,1.0,1.0,-1.0077252033553779,8,bridge,10,9,0.9
haze,1.0,1.0,-1.0077252033553779,9,large-vehicle,57,78,0.6821421468538721
haze,1.0,1.0,-1.0077252033553779,10,small-vehicle,175,145,0.6864178233545039
haze,1.0,1.0,-1.0077252033553779,11,helicopter,0,0,
haze,1.0,1.0,-1.0077252033553779,12,roundabout,5,2,0.4
haze,1.0,1.0,-1.0077252033553779,13,soccer-ball-field,7,4,0.5714285714285714
haze,1.0,1.0,-1.0077252033553779,14,swimming-pool,64,14,0.1802884615384615
