name,ods_threshold,ods_f_score
P0063,212,0.20900528920020212
P0081,86,0.07708922628049279
P0198,160,0.37969417991513615
P0308,20,0.1080129449059938
P0336,205,0.08621053352507829
P0345,197,0.059622975163347934
P0363,42,0.19546790674350736
P0368,20,0.14436946979048126
P0377,20,0.10542681784152422
P0452,20,0.06681461544199133
P0517,227,0.16431732644008046
P0565,220,0.08959920700442546
P0649,116,0.32698390423645596
P0699,20,0.09584758069616854
P0806,153,0.13229376896784378
P1003,227,0.11199090934565262
P1029,227,0.11534241446446714
P1148,20,0.0170503573485138
P1158,57,0.18145063655722504
P1207,42,1.0
P1216,34,0.43783551784476216
P1242,220,0.09146645540591253
P1358,168,0.16081116419483432
P1522,49,0.10506485723012966
P1676,42,0.018216955627880057
P1693,205,1.0
P1960,101,0.29262124418364777
P2002,20,0.19126056473970932
P2045,20,0.1928841434126819
P2210,212,0.14456216843967717
P2257,212,0.1374109167035828
P2278,205,0.10515798631334305
P2332,146,0.03928767120897767
P2352,146,0.006374364708645073
P2456,220,0.010429647054013872
P2528,175,0.044306149116942556
P2591,183,0.10193332455025207
P2613,205,0.21053471034145013
P2724,183,0.046572560877359344
P2754,138,0.0013241248878826954
