class_id,class_name,n_gt_px,f_score
0,plane,64509,0.07630801834732118
1,ship,5474,0.04254068729835736
2,storage-tank,5526,0.039566478017286695
3,baseball-diamond,19516,0.017839932499400357
4,tennis-court,194379,0.07639429487221581
5,basketball-court,12744,0.07735825883007359
6,ground-track-field,29502,0.029304191436994836
7,harbor,140055,0.05961570335099553
8,bridge,7670,0.08513534308140823
9,large-vehicle,86840,0.06279248992820176
10,small-vehicle,115861,0.08437643536081346
11,helicopter,0,
12,roundabout,10922,0.027974382864814556
13,soccer-ball-field,27994,0.026852743649711498
14,swimming-pool,52001,0.07988570515818222
