class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,46,0.8939393939393939
1,ship,6,7,0.7380952380952381
2,storage-tank,15,23,0.8667379679144386
3,baseball-diamond,11,8,0.7272727272727273
4,tennis-court,87,87,0.9651115618661257
5,basketball-court,6,5,0.8333333333333334
6,ground-track-field,9,7,0.7777777777777778
7,harbor,48,44,0.7915635415635417
8,bridge,10,9,0.9
9,large-vehicle,57,78,0.6821421468538721
10,small-vehicle,175,145,0.6864178233545039
11,helicopter,0,0,
12,roundabout,5,2,0.4
13,soccer-ball-field,7,4,0.5714285714285714
14,swimming-pool,64,14,0.18028846153846156
