name,n_dets,mean_conf
P0063,14,0.4522552490234375
P0081,1,0.7384227514266968
P0198,20,0.8871148228645325
P0308,6,0.46228575706481934
P0336,6,0.625934898853302
P0345,5,0.575679361820221
P0363,34,0.7345712184906006
P0368,14,0.7022655606269836
P0377,8,0.7860795855522156
P0452,8,0.7909659147262573
P0517,16,0.6462361812591553
P0565,5,0.5921608805656433
P0649,4,0.9268229007720947
P0699,12,0.8558595776557922
P0806,10,0.8961392641067505
P1003,7,0.747632622718811
P1029,19,0.7009676694869995
P1148,2,0.5745489597320557
P1158,4,0.5148082971572876
P1207,0,0.0
P1216,0,0.0
P1242,21,0.7152636051177979
P1358,13,0.7550371885299683
P1522,6,0.6581869125366211
P1676,2,0.8098285794258118
P1693,1,0.26029902696609497
P1960,78,0.7288039326667786
P2002,38,0.7788538932800293
P2045,15,0.8189937472343445
P2210,36,0.8158935904502869
P2257,12,0.8105242848396301
P2278,2,0.7402955889701843
P2332,5,0.5870986580848694
P2352,5,0.5766029953956604
P2456,1,0.34864476323127747
P2528,1,0.36156389117240906
P2591,17,0.854003369808197
P2613,38,0.7280136942863464
P2724,1,0.754801869392395
P2754,5,0.39021140336990356
