name,n_keypoints,mean_response
P0063,1000,0.0007726957510749343
P0081,1000,0.000624228551008855
P0198,1000,0.0006470741590455873
P0308,980,0.00016956253563130166
P0336,1000,0.0010395705231640022
P0345,1000,0.00015015070110894156
P0363,1000,0.000922774527069123
P0368,1000,0.0004059953930300253
P0377,881,4.0956134232376935e-05
P0452,1000,0.0009715731710602995
P0517,1000,0.001634809679846512
P0565,1000,0.0004575994598235411
P0649,646,4.0579566770185816e-05
P0699,1000,0.002759834615513682
P0806,1000,0.0002697027168214845
P1003,1000,0.00034967229871472226
P1029,1000,0.0007104510804929305
P1148,465,4.847436406358826e-05
P1158,481,1.695449207601387e-05
P1207,20,9.496868372593781e-07
P1216,4,8.988431545731146e-07
P1242,444,1.3979410460001623e-05
P1358,898,3.842110500671274e-05
P1522,701,6.343091974558021e-05
P1676,379,4.784656471021763e-06
P1693,386,1.0046406930129372e-05
P1960,1000,0.0033200426056282594
P2002,1000,0.0022782356315292416
P2045,1000,0.0002921885021896742
P2210,1000,0.0011206125598109793
P2257,1000,0.00024930048844908016
P2278,1000,0.00032923690494499167
P2332,1000,0.00024444368156036945
P2352,1000,0.00020191614924988243
P2456,1000,0.0006334091912576696
P2528,1000,0.0007754800536495167
P2591,1000,0.000422120680588705
P2613,1000,0.0019539476139470934
P2724,1000,0.0001759426680073375
P2754,1000,0.00033213806486310203
