class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,54,0.9058298568715235
1,ship,6,6,0.16666666666666666
2,storage-tank,15,6,0.4
3,baseball-diamond,11,3,0.2727272727272727
4,tennis-court,87,84,0.7413396717408742
5,basketball-court,6,2,0.3333333333333333
6,ground-track-field,9,5,0.5555555555555556
7,harbor,48,39,0.6696221200297288
8,bridge,10,10,0.78
9,large-vehicle,57,72,0.8010979964899154
10,small-vehicle,175,130,0.577844213856189
11,helicopter,0,0,
12,roundabout,5,2,0.4
13,soccer-ball-field,7,5,0.2857142857142857
14,swimming-pool,64,86,0.0011807026836158192
