class_id,class_name,n_gt_px,f_score
0,plane,64509,0.053087150481292145
1,ship,5474,0.005395264201503653
2,storage-tank,5526,0.032345069292600406
3,baseball-diamond,19516,0.027249580628379424
4,tennis-court,194379,0.07620711914754842
5,basketball-court,12744,0.05466374373802648
6,ground-track-field,29502,0.019609175424354718
7,harbor,140055,0.08119436507083895
8,bridge,7670,0.05535296961481283
9,large-vehicle,86840,0.07403500373425305
10,small-vehicle,115861,0.06934405973172779
11,helicopter,0,
12,roundabout,10922,0.021022078324951468
13,soccer-ball-field,27994,0.02204707214893218
14,swimming-pool,52001,0.07485577950320593
