name,n_dets,mean_conf
P0063,1,0.32824236154556274
P0081,0,0.0
P0198,19,0.9023929238319397
P0308,5,0.454850435256958
P0336,8,0.5443353056907654
P0345,4,0.5467708706855774
P0363,29,0.6562156081199646
P0368,10,0.8147333264350891
P0377,6,0.8436625599861145
P0452,7,0.6110100150108337
P0517,14,0.5607046484947205
P0565,3,0.7100974917411804
P0649,4,0.9072285294532776
P0699,10,0.805439829826355
P0806,9,0.8588743209838867
P1003,8,0.6558337211608887
P1029,19,0.6095066070556641
P1148,2,0.7369715571403503
P1158,5,0.5446532964706421
P1207,0,0.0
P1216,0,0.0
P1242,8,0.5787087678909302
P1358,11,0.7390962243080139
P1522,5,0.8105312585830688
P1676,2,0.7141618728637695
P1693,0,0.0
P1960,75,0.6983266472816467
P2002,35,0.7819532155990601
P2045,9,0.6710872054100037
P2210,37,0.7886015176773071
P2257,10,0.7601245045661926
P2278,4,0.49814751744270325
P2332,1,0.9111824631690979
P2352,3,0.499342679977417
P2456,2,0.6198515892028809
P2528,3,0.36679279804229736
P2591,10,0.7953799962997437
P2613,36,0.7893105149269104
P2724,0,0.0
P2754,0,0.0
