name,ods_threshold,ods_f_score
P0063,205,0.20067064075179872
P0081,131,0.0696058788452494
P0198,94,0.3161728190532606
P0308,20,0.12731938269055446
P0336,42,0.0874360505295334
P0345,94,0.06854574948698462
P0363,27,0.1790864760976072
P0368,34,0.1480458882353454
P0377,123,0.10716877787678394
P0452,20,0.04246602387447907
P0517,183,0.15821085136299795
P0565,183,0.10837940731603449
P0649,123,0.2750295329372535
P0699,20,0.0804567122233096
P0806,20,0.10137676757383675
P1003,205,0.1162803884703561
P1029,190,0.17039262988403037
P1148,20,0.044169084903156124
P1158,116,0.028273951180945587
P1207,20,1.0
P1216,108,0.006926101508255397
P1242,20,0.024688935467895752
P1358,116,0.09803738201089268
P1522,101,0.090654384956469
P1676,20,0.014907940638338262
P1693,175,1.0
P1960,131,0.3025552880767129
P2002,190,0.23116574171038898
P2045,20,0.1828274648786867
P2210,94,0.09941052042954511
P2257,34,0.09944512488535555
P2278,153,0.1600886435684168
P2332,86,0.05671156347061794
P2352,20,0.0038948520661804
P2456,108,0.011344327078539898
P2528,116,0.019656325833692492
P2591,20,0.10542650836138477
P2613,131,0.2151910111225453
P2724,94,0.052411009124622925
P2754,20,0.0018174037926467056
