class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,83,0.8604998104924696
1,ship,6,10,0.5277777777777777
2,storage-tank,15,5,0.3333333333333333
3,baseball-diamond,11,4,0.36363636363636365
4,tennis-court,87,56,0.6305418719211823
5,basketball-court,6,2,0.3333333333333333
6,ground-track-field,9,3,0.3333333333333333
7,harbor,48,44,0.6969193817878027
8,bridge,10,11,0.7333333333333333
9,large-vehicle,57,95,0.6493184310128242
10,small-vehicle,175,153,0.5565149451853525
11,helicopter,0,0,
12,roundabout,5,1,0.2
13,soccer-ball-field,7,2,0.2857142857142857
14,swimming-pool,64,17,0.232421875
