name,n_dets,mean_conf
P0063,5,0.470734179019928
P0081,0,0.0
P0198,18,0.8900474905967712
P0308,1,0.31726089119911194
P0336,8,0.6136758923530579
P0345,3,0.41704460978507996
P0363,25,0.7091827988624573
P0368,9,0.7945228219032288
P0377,6,0.8576326966285706
P0452,4,0.731361448764801
P0517,8,0.6412017345428467
P0565,4,0.5843760967254639
P0649,3,0.3481101095676422
P0699,9,0.8679295182228088
P0806,10,0.8378239870071411
P1003,9,0.6456590890884399
P1029,21,0.6253757476806641
P1148,2,0.7062115669250488
P1158,3,0.3410024344921112
P1207,0,0.0
P1216,0,0.0
P1242,4,0.6449681520462036
P1358,1,0.6627168655395508
P1522,0,0.0
P1676,0,0.0
P1693,0,0.0
P1960,72,0.6941176056861877
P2002,33,0.7983285188674927
P2045,23,0.6643420457839966
P2210,37,0.8172892332077026
P2257,22,0.42773017287254333
P2278,2,0.5564572811126709
P2332,1,0.8596609830856323
P2352,0,0.0
P2456,3,0.4446067810058594
P2528,0,0.0
P2591,6,0.6871182322502136
P2613,38,0.6637775301933289
P2724,0,0.0
P2754,0,0.0
