name,ods_threshold,ods_f_score
P0063,212,0.24560150281143014
P0081,79,0.07937551518470547
P0198,71,0.32341793940194685
P0308,20,0.09087064578368413
P0336,20,0.1041174772094086
P0345,42,0.07901267667815644
P0363,27,0.2515031878156762
P0368,20,0.1943201062155482
P0377,20,0.03568578500228536
P0452,20,0.05988128629305549
P0517,183,0.22598496646942076
P0565,168,0.10688614209760361
P0649,27,0.2784126003743635
P0699,20,0.10852379265670489
P0806,20,0.13326692937265902
P1003,220,0.09630458352233126
P1029,20,0.09065600038313902
P1148,20,0.024344520087376812
P1158,20,0.1474336994961435
P1207,20,1.0
P1216,20,0.0
P1242,79,0.14403995673200462
P1358,20,0.15300063438287595
P1522,20,0.0
P1676,20,0.0010770059235325794
P1693,79,1.0
P1960,71,0.4652124363609133
P2002,108,0.2588931544711898
P2045,108,0.1821837772752558
P2210,101,0.13907528745009543
P2257,20,0.1391435149783723
P2278,175,0.09563247525572098
P2332,116,0.08328270255136731
P2352,20,0.0008034892250366031
P2456,20,0.003478274535568042
P2528,168,0.020235201366533083
P2591,190,0.12208754424378111
P2613,183,0.35257679515450746
P2724,20,0.03871020415164682
P2754,42,0.0032689026889074317
