class_id,class_name,n_gt_px,f_score
0,plane,64509,0.09395964999109391
1,ship,5474,0.014521863608909273
2,storage-tank,5526,0.06229173355915489
3,baseball-diamond,19516,0.014686347818790817
4,tennis-court,194379,0.0338882657180303
5,basketball-court,12744,0.058703281004693214
6,ground-track-field,29502,0.021369639202782197
7,harbor,140055,0.07120395433871493
8,bridge,7670,0.0
9,large-vehicle,86840,0.10813221100885188
10,small-vehicle,115861,0.15122593803423412
11,helicopter,0,
12,roundabout,10922,0.029227963124721784
13,soccer-ball-field,27994,0.017507871767970837
14,swimming-pool,52001,0.10440127830138604
